Target,FeatureSet,Model,n_feat,R2_5fold,RMSE_5fold,LOO_R2,LOO_RMSE,LOBO_R2,LOBO_RMSE,BIC,HPO
YS,S1,BayesianRidge,2,0.4090848059827284,60.59363016675129,0.447298766,60.30208888587526,0.3874181655037376,63.48471823015527,,optuna-nested-50
YS,S1,CatBoost,2,0.3159651970696125,66.92497987002041,0.2895843501776542,68.36650824960103,0.2589726939134572,69.82392291316835,,optuna-nested-50
YS,S1,DecisionTree,2,0.3312914975388161,64.71353302736928,0.274876298,69.0705938225523,0.3989286092058257,62.88544927130846,,optuna-nested-50
YS,S1,Dummy,2,-0.051321092912747,81.78746833685419,-0.0218572778827974,81.99403529558782,-0.1218096930677463,85.91059629591047,,none
YS,S1,ElasticNet,2,0.2036800830408334,70.66494388988163,0.4455939434760833,60.395019012910346,0.2632645593467383,69.62142696436457,776.4,optuna-nested-50
YS,S1,ExtraTrees,2,0.3296386574989936,66.17999726259724,0.3507421158345181,65.35754872942341,0.311148701071232,67.32089485512674,,optuna-nested-50
YS,S1,GPR,2,0.3233297749469125,66.7559154267551,0.311376753,67.30975026695613,0.1537759155511696,74.61563342629576,,optuna-nested-50
YS,S1,GradientBoosting,2,0.3702670026020597,64.18907510343028,0.2792734311223258,68.86085415365119,0.3006140346767588,67.8337139713724,,optuna-nested-50
YS,S1,KernelRidge,2,0.3823125747956921,62.22864671423347,0.4110017218176821,62.25068746537517,0.3695630816327278,64.40327583630126,,optuna-nested-50
YS,S1,Lasso,2,0.0301118406713592,79.8946662413717,0.1096268610460594,76.53730467490391,-0.0683110782570275,83.83705329337657,820.4,optuna-nested-50
YS,S1,LightGBM,2,0.3135519098108795,67.762888514569,0.2712728006979173,69.2420040632063,0.2659631326037862,69.49380253471082,,optuna-nested-50
YS,S1,LinearRegression,2,0.4120095177618917,60.26007119812652,0.451175271,60.090245081876645,0.3936069139107873,63.16321970637374,775.4,none
YS,S1,MLP,2,0.308470588179063,68.09527546937566,0.2257482307269591,71.37206174779209,-1.0271888142536811,115.48730316202396,,none
YS,S1,NNR,2,-0.8666026017861764,111.63362558909554,-1.608628092,131.0066142223361,0.3215252048803581,66.81192710267284,,optuna-nested-50
YS,S1,RandomForest,2,0.3275343029943821,65.16870386794,0.273605323,69.13109974533893,0.31928090631665,66.92233806990038,,optuna-nested-50
YS,S1,Ridge,2,0.3843410883355665,61.94059388863801,0.4505247569950066,60.125846558501465,0.3832254585321807,63.70160266471316,775.5,optuna-nested-50
YS,S1,SVR,2,0.1842235862680226,70.67491570054388,0.217344133,71.75836949791989,0.1918852759934637,72.91613648825307,,optuna-nested-50
YS,S1,Stacking,2,0.3055009616048849,66.75275981181778,0.2900714773377219,68.34306500625812,0.2433580121944668,70.55574113026827,,none
YS,S1,XGBoost,2,0.21882676092673,71.38765640322114,0.219511244,71.65895404623207,0.2232003044838659,71.48940173481405,,optuna-nested-50
YS,S2,BayesianRidge,8,0.6851098948941807,45.7127583618753,0.6656598746226243,46.90092302032778,0.6130725526746466,50.454732550380136,,optuna-nested-50
YS,S2,CatBoost,8,0.6297637827226421,49.453556467742004,0.5931168894311379,51.73946942219614,0.5022038509437687,57.22857151659646,,optuna-nested-50
YS,S2,DecisionTree,8,0.4589859741885191,59.790996476124,0.4823294108775181,58.35981213299198,0.4963304856424648,57.565193899629236,,optuna-nested-50
YS,S2,Dummy,8,-0.051321092912747,81.78746833685419,-0.0218572778827974,81.99403529558782,-0.1218096930677463,85.91059629591047,,none
YS,S2,ElasticNet,8,0.6573141964638392,48.89541059349055,0.368808802571486,64.44179160175563,0.5046750140659313,57.08634755235503,815.6,optuna-nested-50
YS,S2,ExtraTrees,8,0.638023386256838,48.6026065234479,0.5989760715173629,51.365590230065365,0.5308188678314258,55.559382311803915,,optuna-nested-50
YS,S2,GPR,8,0.6120466766446937,50.37259894092557,0.6166457273735746,50.221224012724235,0.4769900578473279,58.66000715912744,,optuna-nested-50
YS,S2,GradientBoosting,8,0.5746591055689596,52.277021352386406,0.5682954067118466,53.2942646319788,0.4696969048076994,59.06758572909201,,optuna-nested-50
YS,S2,KernelRidge,8,0.6947898022024683,45.13950425387234,0.6603812864237034,47.2697108389311,0.5941516344971914,51.67363817942422,,optuna-nested-50
YS,S2,Lasso,8,0.0197188280621713,79.5997588281831,0.0123101559505617,80.61157998345159,-0.1218096930677463,85.91059629591047,857.3,optuna-nested-50
YS,S2,LightGBM,8,0.5139021944544071,54.39603455287099,0.564598587689209,53.52196578061271,0.5546802097867867,54.12814417397889,,optuna-nested-50
YS,S2,LinearRegression,8,0.6881680278387631,45.35421933465665,0.6716152413728138,46.48133952325618,0.581562612198423,52.46895086766242,754.9,none
YS,S2,MLP,8,0.4758072057992288,61.653044987810034,0.5309419804215767,55.552092474511454,0.4547629056897035,59.8935198504947,,none
YS,S2,NNR,8,0.6605779051733408,47.815476739732965,0.6500250123395022,47.98501586899191,0.5680842248367721,53.30729832080156,,optuna-nested-50
YS,S2,PCA_OLS,8,0.6315633578459333,49.69681949352523,0.6039165321537654,51.0482075297499,0.560997791261386,53.74282506336944,763.2,none
YS,S2,RandomForest,8,0.5882435223124662,51.77629956697455,0.5630174838178829,53.61905676263305,0.4984249737249551,57.44537801208608,,optuna-nested-50
YS,S2,Ridge,8,0.6949665719973155,44.943837010357136,0.6623206708303189,47.13455133918364,0.613699962211572,50.41380934421143,757.5,optuna-nested-50
YS,S2,SVR,8,0.3253294150258548,65.82039054087497,0.5671212571686125,53.36669025712575,0.2932410819740931,68.1903293325846,,optuna-nested-50
YS,S2,Stacking,8,0.6113242353253993,49.69861825717142,0.6036831615607745,51.063244002049856,0.5775090412111016,52.72248222976811,,none
YS,S2,XGBoost,8,0.5641579425804226,53.16274243377674,0.5609227934511362,53.74741550065454,0.5272296741987252,55.77148958313024,,optuna-nested-50
YS,S3,BayesianRidge,11,0.6520680927698432,48.89210064872791,0.620003229,50.00081606334041,0.5629623432368817,53.622439612712775,,optuna-nested-50
